,chainId,blockNumber,blockHash,transactionIndex,hash,log_index,nonce,from,to,token,token_address,value,price,value_usd,gas,gasPrice,gasUsed,maxFeePerGas,maxPriorityFeePerGas,type,callType,traceAddress,subtraces,output,error,result,address,code,init,r,s,v,input
142,1,15951212,,202,0x4d9a809d941555654d3de8d983d1c9b428a06cd3ba29ca934a57a657f433be31,328.0,,0xA556a5a50d2C786617263414878214A9159d1433,0x59ABf3837Fa962d6853b4Cc0a19513AA031fd32b,PNKD,0xbE108797746Ec7a63ea7219E768A1512Cab86523,535,,,,,,,,,,,,,,,,,,,,,
144,1,15951223,,131,0x11fded1cd7da6a53c713b34ce9b7bf9da25b573936ff61acba21e51440b1ab0c,297.0,,0x30f72CA6B5105FbEF445CD955377ae6aB8bCC8b9,0x59ABf3837Fa962d6853b4Cc0a19513AA031fd32b,DBI,0x2dE509bf0014ddF697b220bE628213034d320EcE,1,0.002130634327224097,0.002130634327224097,,,,,,,,,,,,,,,,,,,
147,1,15951230,,317,0xd98be97dcccb5ba3f2956968a8234a3c1d0dc1fc003653db22581a66309057e8,593.0,,0xBAE8ECa7740719AED4e3bEe50b5D35d8cF21E77A,0x59ABf3837Fa962d6853b4Cc0a19513AA031fd32b,PICKLE,0x429881672B9AE42b8EbA0E26cD9C73711b891Ca5,1,1.039067708175030136,1.039067708175030136,,,,,,,,,,,,,,,,,,,
149,1,15951236,,111,0x9cf0caa6bda61a8aead9ba178a19176979a081449bd880e6852866629ad44d44,185.0,,0x2d795f7de35A512E730e07ff96c4F7257441fE08,0x59ABf3837Fa962d6853b4Cc0a19513AA031fd32b,FFT,0xA20B67908338E0A0344C9CA04a660f8402331458,10000000000,,,,,,,,,,,,,,,,,,,,,
156,1,15951252,,64,0x130adc4dd7cebe4ef720007a491b1efe060dfb81530f097dcfe16eec520840c9,145.0,,0xB32B4350C25141e779D392C1DBe857b62b60B4c9,0x59ABf3837Fa962d6853b4Cc0a19513AA031fd32b,FTTC,0xD9F6724F250F4dA8453e3DD97d718872BF72C1Da,19945.457445329990102598,0.003140816632444978,62.645024486015953406,,,,,,,,,,,,,,,,,,,
158,1,15951254,,9,0x2f23ee7eb71ef38cb732d6f24ddcf0d15137f173c69b3dbd87263db6651af0ed,16.0,,0xbF9688e95023492019DaCAaeCd198E08639f77E5,0x59ABf3837Fa962d6853b4Cc0a19513AA031fd32b,BANKRUPT,0x771705b132A7c258dde71AD380058306C64Ef587,8018953.314780428,0.000047283274095104,379.162367538605763010,,,,,,,,,,,,,,,,,,,
163,1,15951256,,109,0x11fdd6e4d200b4df6a650020946dfb9fa63e12dc90c09ea2260d6cf1867cfd06,175.0,,0xbF9688e95023492019DaCAaeCd198E08639f77E5,0x59ABf3837Fa962d6853b4Cc0a19513AA031fd32b,BANKRUPT,0x771705b132A7c258dde71AD380058306C64Ef587,10000000,0.000049295328311917,492.953283119170000000,,,,,,,,,,,,,,,,,,,
165,1,15951262,,1,0x7d6f49d58aa8393945e61f63acb5de23198bdd5cd21ba01d585b27900485517f,8.0,,0x59ABf3837Fa962d6853b4Cc0a19513AA031fd32b,0x9008D19f58AAbD9eD0D60971565AA8510560ab41,USDP,0x8E870D67F660D95d5be530380D0eC0bd388289E1,2073671.832253462008841465,1.000000000000000000,2073671.832253462008841465,,,,,,,,,,,,,,,,,,,
167,1,15951262,0xe03c5f9823beabde21c67110d07f7027a77bb4ed142fff679d8a2d3cf30ae92c,1,0x7d6f49d58aa8393945e61f63acb5de23198bdd5cd21ba01d585b27900485517f,,,0x9008d19f58aabd9ed0d60971565aa8510560ab41,0x59abf3837fa962d6853b4cc0a19513aa031fd32b,,,1638.405257154951959497,1256.607961760000080176,2058833.090730352969675023,2300.0,,0.0,,,call,call,[4],0.0,0x,,,,,,,,,0x
170,1,15951270,,124,0xb25fdf97a1fc2d644f2798adb4b1a95a298466dfd75db2b667d16a7e1b86de4d,387.0,,0x000018E76912e598678F816c695Cdda67db0c1dA,0x59ABf3837Fa962d6853b4Cc0a19513AA031fd32b,Ogopogo,0x608A911Ff9f2cF21e92F48F0c2f7A70390AA8f7E,1709378.265321311,,,,,,,,,,,,,,,,,,,,,
